# ell, data_A, data_B
1.184419922158806884e+02 7.900390638330763058e-05 9.064151202403836368e-05
1.661564141608184286e+02 7.212908636301660530e-05 9.610477698853740693e-05
2.330926173249537214e+02 1.037616365664004062e-04 1.841081135012102681e-04
3.269941068829917867e+02 1.575901195116835498e-04 2.065544371106856070e-04
4.587238633437344788e+02 1.480521906769130319e-04 2.721492684878839023e-04
6.435210249103920432e+02 2.381632086112741187e-04 3.219073614420016739e-04
9.027638250234442694e+02 3.654803724053169831e-04 3.877842865769290837e-04
1.266442730265795490e+03 5.297422323137255867e-04 5.335159610911483202e-04
